,team_name,href,id,year,league_id
6,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2022,762,2022,2
7,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2022,405,2022,2
8,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2022,1237,2022,2
9,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2022,379,2022,2
10,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2022,1003,2022,2
11,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2022,543,2022,2
12,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2022,180,2022,2
13,Brentford FC,/fc-brentford/startseite/verein/1148/saison_id/2022,1148,2022,2
14,Nottingham Forest,/nottingham-forest/startseite/verein/703/saison_id/2022,703,2022,2
15,Everton FC,/fc-everton/startseite/verein/29/saison_id/2022,29,2022,2
16,Leeds United,/leeds-united/startseite/verein/399/saison_id/2022,399,2022,2
17,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2022,873,2022,2
18,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2022,989,2022,2
19,Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2022,931,2022,2
0,Borussia Dortmund,/borussia-dortmund/startseite/verein/16/saison_id/2000,16,2000,1
1,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15/saison_id/2000,15,2000,1
2,Bayern Munich,/fc-bayern-munchen/startseite/verein/27/saison_id/2000,27,2000,1
3,TSV 1860 Munich,/tsv-1860-munchen/startseite/verein/72/saison_id/2000,72,2000,1
4,1.FC Kaiserslautern,/1-fc-kaiserslautern/startseite/verein/2/saison_id/2000,2,2000,1
5,Hamburger SV,/hamburger-sv/startseite/verein/41/saison_id/2000,41,2000,1
6,SC Freiburg,/sc-freiburg/startseite/verein/60/saison_id/2000,60,2000,1
7,1.FC Köln,/1-fc-koln/startseite/verein/3/saison_id/2000,3,2000,1
8,SpVgg Unterhaching,/spvgg-unterhaching/startseite/verein/66/saison_id/2000,66,2000,1
9,VfB Stuttgart,/vfb-stuttgart/startseite/verein/79/saison_id/2000,79,2000,1
10,SV Werder Bremen,/sv-werder-bremen/startseite/verein/86/saison_id/2000,86,2000,1
11,Eintracht Frankfurt,/eintracht-frankfurt/startseite/verein/24/saison_id/2000,24,2000,1
